티커,테마,entry_date,hold,tp,sl,ret,hit_tp,hit_sl,grade,dist,rsi,vol,vc,regime,price_over_ma20,price_over_ma60,mom_5,mom_10,body_pct,upper_shadow,lower_shadow,atr_like
TSLA,MEGA_TECH,2025-04-01,1,2,-1,2.0,1,0,B,19.417564537849312,59.349644712113225,4.451027848258442,11.634705058835285,40,1.8846865282150749,-22.23566822557202,-6.907579286064762,8.88618530456963,3.8007431564779495,0.5402044592921349,2.2958777836721067,6.63682539944219
TSLA,MEGA_TECH,2025-04-01,1,2,-2,2.0,1,0,B,19.417564537849312,59.349644712113225,4.451027848258442,11.634705058835285,40,1.8846865282150749,-22.23566822557202,-6.907579286064762,8.88618530456963,3.8007431564779495,0.5402044592921349,2.2958777836721067,6.63682539944219
TSLA,MEGA_TECH,2025-04-01,1,2,-3,2.0,1,0,B,19.417564537849312,59.349644712113225,4.451027848258442,11.634705058835285,40,1.8846865282150749,-22.23566822557202,-6.907579286064762,8.88618530456963,3.8007431564779495,0.5402044592921349,2.2958777836721067,6.63682539944219
TSLA,MEGA_TECH,2025-04-01,1,2,-4,2.0,1,0,B,19.417564537849312,59.349644712113225,4.451027848258442,11.634705058835285,40,1.8846865282150749,-22.23566822557202,-6.907579286064762,8.88618530456963,3.8007431564779495,0.5402044592921349,2.2958777836721067,6.63682539944219
TSLA,MEGA_TECH,2025-04-01,1,3,-1,3.0,1,0,B,19.417564537849312,59.349644712113225,4.451027848258442,11.634705058835285,40,1.8846865282150749,-22.23566822557202,-6.907579286064762,8.88618530456963,3.8007431564779495,0.5402044592921349,2.2958777836721067,6.63682539944219
TSLA,MEGA_TECH,2025-04-01,1,3,-2,3.0,1,0,B,19.417564537849312,59.349644712113225,4.451027848258442,11.634705058835285,40,1.8846865282150749,-22.23566822557202,-6.907579286064762,8.88618530456963,3.8007431564779495,0.5402044592921349,2.2958777836721067,6.63682539944219
TSLA,MEGA_TECH,2025-04-01,1,3,-3,3.0,1,0,B,19.417564537849312,59.349644712113225,4.451027848258442,11.634705058835285,40,1.8846865282150749,-22.23566822557202,-6.907579286064762,8.88618530456963,3.8007431564779495,0.5402044592921349,2.2958777836721067,6.63682539944219
TSLA,MEGA_TECH,2025-04-01,1,3,-4,3.0,1,0,B,19.417564537849312,59.349644712113225,4.451027848258442,11.634705058835285,40,1.8846865282150749,-22.23566822557202,-6.907579286064762,8.88618530456963,3.8007431564779495,0.5402044592921349,2.2958777836721067,6.63682539944219
TSLA,MEGA_TECH,2025-04-01,1,4,-1,4.0,1,0,B,19.417564537849312,59.349644712113225,4.451027848258442,11.634705058835285,40,1.8846865282150749,-22.23566822557202,-6.907579286064762,8.88618530456963,3.8007431564779495,0.5402044592921349,2.2958777836721067,6.63682539944219
TSLA,MEGA_TECH,2025-04-01,1,4,-2,4.0,1,0,B,19.417564537849312,59.349644712113225,4.451027848258442,11.634705058835285,40,1.8846865282150749,-22.23566822557202,-6.907579286064762,8.88618530456963,3.8007431564779495,0.5402044592921349,2.2958777836721067,6.63682539944219
